kind,path,size_bytes,size_readable
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\linalg\__pycache__,138689,135.44 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\testing\tests\__pycache__,138671,135.42 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\alembic\autogenerate\__pycache__,137471,134.25 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\tslibs\__pycache__,135056,131.89 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pkg_resources\_vendor\packaging\__pycache__,134656,131.50 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\setuptools\_vendor\packaging\__pycache__,134617,131.46 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\packaging\__pycache__,134528,131.38 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\docx\__pycache__,133453,130.33 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_internal\req\__pycache__,131366,128.29 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\computation\__pycache__,130395,127.34 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexes\numeric\__pycache__,129162,126.13 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\alembic\testing\suite\__pycache__,128802,125.78 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\alembic\script\__pycache__,128504,125.49 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\testing\_private\__pycache__,126941,123.97 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\groupby\transform\__pycache__,126758,123.79 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\openpyxl\styles\__pycache__,126671,123.70 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\websockets\sync\__pycache__,125415,122.48 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\reductions\__pycache__,125387,122.45 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\pygments\lexers\__pycache__,124439,121.52 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\__pycache__,123887,120.98 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_internal\__pycache__,121387,118.54 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\numpy\distutils\tests\__pycache__,120463,117.64 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__pycache__,117767,115.01 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_internal\cli\__pycache__,115907,113.19 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\docx\opc\__pycache__,115751,113.04 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\setuptools\config\__pycache__,113285,110.63 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\dateutil\tz\__pycache__,110137,107.56 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\dateutil\__pycache__,110114,107.53 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pip\_vendor\urllib3\util\__pycache__,108800,106.25 KB
DIR,E:\Bots\docgen_backend_minimal_v2\venv\Lib\site-packages\pandas\tests\indexes\categorical\__pycache__,107645,105.12 KB
